Call of Duty: Modern Warfare 3, X360, 2011, Shooter, Activision, 9.03, 0.13, 4.28, 1.32, 14.76
Cabela's Big Game Hunter (2008), Wii, 2007, Sports, Activision, 0.58, 0.0, 0.0, 0.05, 0.63
Call of Duty: Black Ops, DS, 2010, Shooter, Activision, 0.54, 0.0, 0.05, 0.04, 0.63
Transformers: Revenge of the Fallen, X360, 2009, Shooter, Activision, 0.34, 0.0, 0.23, 0.06, 0.6300000000000001
Buzz Lightyear of Star Command, PS, 2000, Platform, Activision, 0.35, 0.0, 0.24, 0.04, 0.6299999999999999
Tony Hawk's American Wasteland, XB, 2005, Sports, Activision, 0.4, 0.0, 0.2, 0.03, 0.63
Wipeout: The Game, DS, 2010, Misc, Activision, 0.58, 0.0, 0.0, 0.04, 0.62
Tony Hawk: RIDE, X360, 2009, Sports, Activision, 0.46, 0.0, 0.1, 0.05, 0.6100000000000001
Cabela's Monster Buck Hunter, Wii, 2010, Sports, Activision, 0.58, 0.0, 0.0, 0.03, 0.61
Guitar Hero: Smash Hits, Wii, 2009, Misc, Activision, 0.33, 0.0, 0.21, 0.06, 0.6000000000000001
Spider-Man: Mysterio's Menace, GBA, 2001, Action, Activision, 0.43, 0.0, 0.16, 0.01, 0.6
Transformers: The Game, X360, 2007, Action, Activision, 0.51, 0.0, 0.05, 0.05, 0.61
Tony Hawk's Underground, GBA, 2003, Sports, Activision, 0.43, 0.0, 0.16, 0.01, 0.6
Tony Hawk: RIDE, PS3, 2009, Sports, Activision, 0.38, 0.0, 0.15, 0.08, 0.61
Skylanders SWAP Force, WiiU, 2013, Platform, Activision, 0.4, 0.0, 0.15, 0.06, 0.61
Blur, X360, 2010, Racing, Activision, 0.25, 0.0, 0.28, 0.06, 0.5900000000000001
LEGO Indiana Jones 2: The Adventure Continues, PSP, 2009, Action, Activision, 0.21, 0.0, 0.24, 0.14, 0.59
Transformers: The Game, Wii, 2007, Action, Activision, 0.52, 0.0, 0.03, 0.04, 0.5900000000000001
Cabela's Dangerous Hunts 2011, Wii, 2010, Sports, Activision, 0.53, 0.0, 0.02, 0.04, 0.5900000000000001
Transformers: War for Cybertron, X360, 2010, Shooter, Activision, 0.37, 0.0, 0.15, 0.05, 0.5700000000000001
Shrek 2: Beg for Mercy, GBA, 2004, Adventure, Activision, 0.42, 0.0, 0.15, 0.01, 0.58
Tenchu 2: Birth of the Stealth Assassins, PS, 2000, Action, Activision, 0.32, 0.0, 0.22, 0.04, 0.5800000000000001
Tony Hawk's Pro Skater 4, GC, 2002, Sports, Activision, 0.45, 0.0, 0.12, 0.02, 0.59
Rapala: We Fish, Wii, 2009, Sports, Activision, 0.52, 0.0, 0.02, 0.04, 0.5800000000000001
