Kinect Adventures!, X360, 2010, Misc, Microsoft Game Studios, 14.97, 0.24, 4.94, 1.67, 21.82
Lego Batman 3: Beyond Gotham, X360, 2014, Action, Warner Bros. Interactive Entertainment, 0.48, 0.0, 0.38, 0.08, 0.95
Rocksmith 2014, X360, 2013, Misc, Ubisoft, 0.69, 0.0, 0.17, 0.08, 0.94
The Witcher 2: Assassins of Kings, X360, 2012, Action, Namco Bandai Games, 0.48, 0.02, 0.36, 0.08, 0.94
Bayonetta, X360, 2009, Action, Sega, 0.51, 0.09, 0.26, 0.08, 0.94
NCAA Football 10, X360, 2009, Sports, Electronic Arts, 0.87, 0.0, 0.0, 0.07, 0.94
Operation Flashpoint: Dragon Rising, X360, 2009, Shooter, Codemasters, 0.36, 0.02, 0.45, 0.1, 0.93
Skylanders: Trap Team, X360, 2014, Action, Activision, 0.54, 0.0, 0.31, 0.08, 0.93
Blue Dragon, X360, 2006, Role-Playing, Microsoft Game Studios, 0.3, 0.21, 0.33, 0.08, 0.92
NCAA Football 11, X360, 2010, Sports, Electronic Arts, 0.86, 0.0, 0.0, 0.06, 0.92
FIFA Street, X360, 2012, Sports, Electronic Arts, 0.17, 0.0, 0.65, 0.1, 0.92
WWE SmackDown vs. Raw 2009, X360, 2008, Fighting, THQ, 0.58, 0.0, 0.26, 0.08, 0.92
Dante's Inferno, X360, 2010, Action, Electronic Arts, 0.63, 0.02, 0.2, 0.07, 0.92
Wipeout: In The Zone, X360, 2011, Misc, Activision, 0.87, 0.0, 0.0, 0.05, 0.92
Crysis 3, X360, 2013, Shooter, Electronic Arts, 0.51, 0.01, 0.33, 0.08, 0.92
Lost Odyssey, X360, 2007, Role-Playing, Microsoft Game Studios, 0.45, 0.11, 0.27, 0.09, 0.92
Tom Clancy's EndWar, X360, 2008, Strategy, Ubisoft, 0.58, 0.01, 0.24, 0.09, 0.91
Minecraft: Story Mode, X360, 2015, Adventure, Mojang, 0.46, 0.0, 0.38, 0.08, 0.91
Marvel: Ultimate Alliance 2, X360, 2009, Role-Playing, Activision, 0.68, 0.0, 0.15, 0.08, 0.91
The Biggest Loser: Ultimate Workout, X360, 2010, Sports, THQ, 0.73, 0.0, 0.1, 0.06, 0.9
F1 2010, X360, 2010, Racing, Codemasters, 0.18, 0.01, 0.59, 0.1, 0.89
Kingdoms of Amalur: Reckoning, X360, 2012, Role-Playing, Electronic Arts, 0.55, 0.01, 0.25, 0.07, 0.89
WWE SmackDown vs. Raw 2011, X360, 2010, Fighting, THQ, 0.44, 0.0, 0.36, 0.08, 0.88
Sleeping Dogs, X360, 2012, Action, Square Enix, 0.38, 0.01, 0.41, 0.08, 0.88
Michael Jackson: The Experience, X360, 2011, Misc, Ubisoft, 0.62, 0.0, 0.2, 0.07, 0.88
Rock Band 3, X360, 2010, Misc, MTV Games, 0.73, 0.0, 0.1, 0.06, 0.88
GRID, X360, 2008, Racing, Codemasters, 0.33, 0.01, 0.44, 0.09, 0.88
DiRT, X360, 2007, Racing, Codemasters, 0.38, 0.0, 0.4, 0.09, 0.87
Red Faction: Guerrilla, X360, 2009, Shooter, THQ, 0.48, 0.01, 0.29, 0.09, 0.87
Brothers in Arms: Hell's Highway, X360, 2008, Shooter, Ubisoft, 0.47, 0.0, 0.31, 0.09, 0.87
Guitar Hero: Warriors of Rock, X360, 2010, Misc, Activision, 0.47, 0.0, 0.32, 0.08, 0.87
The Lord of the Rings: War in the North, X360, 0, Action, Warner Bros. Interactive Entertainment, 0.52, 0.0, 0.26, 0.08, 0.86
2010 FIFA World Cup South Africa, X360, 2010, Sports, Electronic Arts, 0.32, 0.02, 0.43, 0.09, 0.86
Forza Horizon 2, X360, 2014, Racing, Microsoft Game Studios, 0.35, 0.0, 0.43, 0.07, 0.85
NBA 2K8, X360, 2007, Sports, Take-Two Interactive, 0.79, 0.0, 0.0, 0.07, 0.85
Sniper Elite V2, X360, 2012, Shooter, 505 Games, 0.46, 0.02, 0.29, 0.07, 0.85
Duke Nukem Forever, X360, 2011, Shooter, Take-Two Interactive, 0.52, 0.0, 0.25, 0.07, 0.84
Need for Speed Rivals, X360, 2013, Racing, Electronic Arts, 0.37, 0.01, 0.38, 0.08, 0.84
Dance Central 3, X360, 2012, Misc, Microsoft Game Studios, 0.57, 0.0, 0.2, 0.06, 0.83
Sid Meier's Civilization Revolution, X360, 2008, Strategy, Take-Two Interactive, 0.58, 0.0, 0.17, 0.07, 0.83
DJ Hero 2, X360, 2010, Misc, Activision, 0.64, 0.0, 0.12, 0.06, 0.82
Stranglehold, X360, 2007, Shooter, Midway Games, 0.4, 0.01, 0.33, 0.09, 0.82
Shaun White Snowboarding, X360, 0, Sports, Ubisoft, 0.48, 0.0, 0.26, 0.08, 0.82
Pro Evolution Soccer 2010, X360, 2009, Sports, Konami Digital Entertainment, 0.12, 0.03, 0.58, 0.08, 0.81
DiRT 2, X360, 2009, Racing, Codemasters, 0.32, 0.0, 0.4, 0.09, 0.81
Guitar Hero: Metallica, X360, 2009, Misc, Activision, 0.52, 0.0, 0.21, 0.07, 0.81
Fight Night Champion, X360, 2011, Fighting, Electronic Arts, 0.4, 0.0, 0.33, 0.07, 0.8
Aliens: Colonial Marines, X360, 2013, Shooter, Sega, 0.36, 0.0, 0.37, 0.07, 0.8
[Prototype 2], X360, 2012, Action, Activision, 0.48, 0.0, 0.25, 0.07, 0.8
Sonic & SEGA All-Stars Racing with Banjo-Kazooie, X360, 2010, Racing, Sega, 0.37, 0.0, 0.35, 0.07, 0.8
Dragon's Dogma, X360, 2012, Role-Playing, Capcom, 0.42, 0.07, 0.24, 0.06, 0.8
Darksiders II, X360, 2012, Action, THQ, 0.45, 0.0, 0.28, 0.07, 0.8
Band Hero, X360, 2009, Misc, Activision, 0.51, 0.0, 0.22, 0.07, 0.8
The Godfather II, X360, 2009, Action, Electronic Arts, 0.47, 0.01, 0.24, 0.08, 0.79
Rayman Origins, X360, 2011, Platform, Ubisoft, 0.38, 0.0, 0.34, 0.08, 0.79
Star Ocean: The Last Hope, X360, 2009, Role-Playing, Square Enix, 0.32, 0.21, 0.2, 0.06, 0.79
Dead Island: Riptide, X360, 2013, Action, Deep Silver, 0.44, 0.01, 0.27, 0.07, 0.79
Too Human, X360, 2008, Role-Playing, Microsoft Game Studios, 0.38, 0.03, 0.3, 0.08, 0.79
Naruto Shippuden: Ultimate Ninja Storm 2, X360, 2010, Fighting, Namco Bandai Games, 0.43, 0.01, 0.27, 0.07, 0.79
Tom Clancy's Splinter Cell: Double Agent, X360, 2006, Action, Ubisoft, 0.67, 0.01, 0.05, 0.06, 0.78
Lips, X360, 2008, Misc, Microsoft Game Studios, 0.12, 0.0, 0.56, 0.1, 0.78
UFC Personal Trainer: The Ultimate Fitness System, X360, 2011, Sports, THQ, 0.53, 0.0, 0.19, 0.06, 0.78
Resident Evil: Operation Raccoon City, X360, 2012, Action, Capcom, 0.55, 0.03, 0.15, 0.06, 0.78
Toy Story 3: The Video Game, X360, 2010, Action, Disney Interactive Studios, 0.41, 0.0, 0.29, 0.07, 0.78
Banjo-Kazooie: Nuts & Bolts, X360, 2008, Platform, Microsoft Game Studios, 0.32, 0.0, 0.36, 0.09, 0.78
Avatar: The Game, X360, 2009, Action, Ubisoft, 0.34, 0.0, 0.35, 0.08, 0.78
Perfect Dark Zero, X360, 2005, Shooter, Microsoft Game Studios, 0.66, 0.03, 0.02, 0.06, 0.77
Lost Planet 2, X360, 2010, Shooter, Capcom, 0.38, 0.08, 0.24, 0.06, 0.76
Kane & Lynch: Dead Men, X360, 2007, Shooter, Eidos Interactive, 0.36, 0.01, 0.31, 0.08, 0.76
Dark Souls II, X360, 2014, Role-Playing, Namco Bandai Games, 0.48, 0.01, 0.2, 0.06, 0.76
Rockstar Games presents Table Tennis, X360, 2006, Sports, Take-Two Interactive, 0.28, 0.0, 0.39, 0.09, 0.76
Turok, X360, 2008, Action, Touchstone, 0.46, 0.01, 0.21, 0.07, 0.75
The Amazing Spider-Man (Console Version), X360, 2012, Action, Activision, 0.43, 0.0, 0.26, 0.06, 0.75
Tales of Vesperia, X360, 2008, Role-Playing, Atari, 0.32, 0.19, 0.18, 0.05, 0.75
Borderlands: The Pre-Sequel, X360, 2014, Shooter, Take-Two Interactive, 0.46, 0.01, 0.22, 0.06, 0.75
The Walking Dead: Season One, X360, 2012, Adventure, Avanquest Software, 0.55, 0.0, 0.14, 0.05, 0.75
Final Fantasy XIII-2, X360, 2011, Role-Playing, Square Enix, 0.36, 0.02, 0.3, 0.06, 0.74
F1 2011, X360, 2011, Racing, Codemasters, 0.11, 0.01, 0.51, 0.09, 0.73
NHL 11, X360, 2010, Sports, Electronic Arts, 0.61, 0.0, 0.07, 0.05, 0.73
DiRT 3, X360, 2011, Racing, Codemasters, 0.23, 0.01, 0.41, 0.08, 0.73
NCAA Football 07, X360, 2006, Sports, Electronic Arts, 0.67, 0.0, 0.0, 0.06, 0.73
MX vs. ATV Reflex, X360, 2009, Racing, THQ, 0.52, 0.0, 0.15, 0.06, 0.73
SSX, X360, 2012, Sports, Electronic Arts, 0.38, 0.0, 0.28, 0.06, 0.72
Major League Baseball 2K7, X360, 2007, Sports, Spike, 0.67, 0.0, 0.0, 0.05, 0.72
Terraria, X360, 2013, Action, 505 Games, 0.35, 0.0, 0.31, 0.06, 0.72
Skate, X360, 2007, Sports, Electronic Arts, 0.62, 0.0, 0.04, 0.06, 0.72
Driver: San Francisco, X360, 2011, Racing, Ubisoft, 0.25, 0.0, 0.39, 0.08, 0.72
Omerta: City of Gangsters, X360, 2011, Simulation, Konami Digital Entertainment, 0.42, 0.0, 0.23, 0.06, 0.71
Two Worlds, X360, 2007, Role-Playing, SouthPeak Games, 0.41, 0.0, 0.23, 0.07, 0.71
NCAA Football 09, X360, 2008, Sports, Electronic Arts, 0.65, 0.0, 0.0, 0.05, 0.71
NBA Live 09, X360, 2008, Sports, Electronic Arts, 0.5, 0.0, 0.14, 0.07, 0.71
NHL 12, X360, 2011, Sports, Electronic Arts, 0.55, 0.0, 0.1, 0.05, 0.7
Infinite Undiscovery, X360, 2008, Role-Playing, Square Enix, 0.34, 0.12, 0.18, 0.06, 0.7
NCAA Football 08, X360, 2007, Sports, Electronic Arts, 0.65, 0.0, 0.0, 0.05, 0.7
MotionSports, X360, 2010, Sports, Ubisoft, 0.38, 0.0, 0.26, 0.06, 0.7
WWE 2K15, X360, 2014, Sports, Take-Two Interactive, 0.38, 0.0, 0.26, 0.06, 0.69
X-Men Origins: Wolverine - Uncaged Edition, X360, 2009, Action, Activision, 0.42, 0.0, 0.21, 0.06, 0.69
Shrek the Third, X360, 2007, Action, Activision, 0.54, 0.0, 0.1, 0.06, 0.69
Test Drive Unlimited 2, X360, 0, Racing, Atari, 0.3, 0.0, 0.32, 0.07, 0.69
MX vs. ATV Untamed, X360, 2007, Racing, THQ, 0.55, 0.0, 0.08, 0.06, 0.69
The Last Remnant, X360, 2008, Role-Playing, Square Enix, 0.25, 0.18, 0.2, 0.06, 0.69
Castlevania: Lords of Shadow, X360, 2010, Action, Konami Digital Entertainment, 0.42, 0.01, 0.18, 0.05, 0.67
NHL 13, X360, 2012, Sports, Electronic Arts, 0.51, 0.0, 0.11, 0.05, 0.67
NHL 10, X360, 2009, Sports, Electronic Arts, 0.51, 0.0, 0.1, 0.06, 0.66
Scene It? Box Office Smash, X360, 2008, Misc, Microsoft Game Studios, 0.33, 0.0, 0.25, 0.07, 0.66
Tiger Woods PGA Tour 09, X360, 2008, Sports, Electronic Arts, 0.35, 0.0, 0.23, 0.07, 0.65
Tiger Woods PGA Tour 10, X360, 2009, Sports, Electronic Arts, 0.39, 0.0, 0.2, 0.06, 0.65
Dragon Ball: Raging Blast 2, X360, 2010, Fighting, Namco Bandai Games, 0.49, 0.01, 0.09, 0.05, 0.64
XCOM: Enemy Unknown, X360, 2012, Strategy, Take-Two Interactive, 0.36, 0.0, 0.23, 0.05, 0.64
Stuntman: Ignition, X360, 2007, Racing, THQ, 0.25, 0.0, 0.32, 0.07, 0.64
LEGO Star Wars II: The Original Trilogy, X360, 2006, Action, LucasArts, 0.55, 0.0, 0.04, 0.05, 0.64
The Lord of the Rings: Conquest, X360, 2009, Action, Electronic Arts, 0.37, 0.0, 0.21, 0.06, 0.64
The Walking Dead: Survival Instinct, X360, 2013, Shooter, Activision, 0.46, 0.0, 0.12, 0.05, 0.64
Just Dance 2015, X360, 2014, Misc, Ubisoft, 0.41, 0.0, 0.16, 0.06, 0.63
Juiced 2: Hot Import Nights, X360, 2007, Racing, THQ, 0.22, 0.0, 0.34, 0.07, 0.63
Ghostbusters: The Video Game, X360, 2009, Action, Atari, 0.43, 0.0, 0.14, 0.06, 0.63
Condemned 2: Bloodshot, X360, 2008, Action, Sega, 0.38, 0.0, 0.19, 0.06, 0.63
Transformers: Revenge of the Fallen, X360, 2009, Shooter, Activision, 0.34, 0.0, 0.23, 0.06, 0.63
Sonic & All-Stars Racing Transformed, X360, 2012, Racing, Sega, 0.2, 0.0, 0.37, 0.06, 0.63
Tiger Woods PGA Tour 12: The Masters, X360, 2011, Sports, Electronic Arts, 0.4, 0.0, 0.17, 0.05, 0.63
Prince of Persia: The Forgotten Sands, X360, 2010, Action, Ubisoft, 0.3, 0.0, 0.26, 0.06, 0.62
Wall-E, X360, 2008, Platform, THQ, 0.29, 0.0, 0.26, 0.07, 0.62
Tony Hawk: RIDE, X360, 2009, Sports, Activision, 0.46, 0.0, 0.1, 0.05, 0.61
pro evolution soccer 2011, X360, 2010, Sports, Konami Digital Entertainment, 0.09, 0.0, 0.44, 0.07, 0.61
Major League Baseball 2K8, X360, 2008, Sports, Bethesda Softworks, 0.56, 0.0, 0.0, 0.05, 0.61
Major League Baseball 2K9, X360, 2009, Sports, Spike, 0.56, 0.0, 0.0, 0.05, 0.61
Split/Second, X360, 2010, Racing, Disney Interactive Studios, 0.32, 0.0, 0.23, 0.06, 0.61
Transformers: The Game, X360, 2007, Action, Activision, 0.51, 0.0, 0.05, 0.05, 0.61
Fighters Uncaged, X360, 2010, Fighting, Ubisoft, 0.31, 0.0, 0.24, 0.06, 0.61
Call of Juarez: Bound in Blood, X360, 2009, Shooter, Ubisoft, 0.3, 0.0, 0.24, 0.06, 0.61
PGR3 - Project Gotham Racing 3, X360, 2005, Racing, Microsoft Game Studios, 0.49, 0.03, 0.03, 0.05, 0.6
Blur, X360, 2010, Racing, Activision, 0.25, 0.0, 0.28, 0.06, 0.6
Kinect Rush: A Disney Pixar Adventure, X360, 2012, Adventure, Microsoft Game Studios, 0.38, 0.0, 0.16, 0.05, 0.6
Monopoly, X360, 2008, Misc, Electronic Arts, 0.34, 0.0, 0.2, 0.06, 0.6
London 2012: The Official Video Game of the Olympic Games, X360, 2012, Sports, Sega, 0.07, 0.0, 0.46, 0.07, 0.59
Beijing 2008, X360, 2008, Sports, Sega, 0.15, 0.0, 0.38, 0.07, 0.59
Naruto: The Broken Bond, X360, 2008, Action, Ubisoft, 0.24, 0.0, 0.28, 0.07, 0.59
Payday 2, X360, 2013, Shooter, 505 Games, 0.33, 0.0, 0.21, 0.05, 0.59
SoulCalibur V, X360, 2012, Fighting, Namco Bandai Games, 0.39, 0.02, 0.14, 0.04, 0.59
Madden NFL 06, X360, 0, Sports, Electronic Arts, 0.54, 0.01, 0.0, 0.03, 0.59
Game Party in Motion, X360, 2010, Misc, Warner Bros. Interactive Entertainment, 0.36, 0.0, 0.18, 0.05, 0.59
Lost: Via Domus, X360, 2008, Action, Ubisoft, 0.18, 0.0, 0.34, 0.07, 0.59
Tom Clancy's HAWX, X360, 2009, Action, Ubisoft, 0.31, 0.02, 0.19, 0.06, 0.58
Transformers: War for Cybertron, X360, 2010, Shooter, Activision, 0.37, 0.0, 0.15, 0.05, 0.58
NBA 2K7, X360, 2006, Sports, Take-Two Interactive, 0.53, 0.0, 0.0, 0.04, 0.58
